frame,time_ns,binder_target_com_a,min_heavy_atom_distance_a,ca_contacts_le_8a,hotspots_contacting,hotspot_45_contact,hotspot_47_contact,hotspot_48_contact,hotspot_50_contact,hotspot_52_contact,hotspot_56_contact
0,0.01,32.97689437866211,1.7080439314295173,76,5,1,1,1,1,1,0
1,0.02,32.94902801513672,1.9694916781028802,76,5,1,1,1,1,1,0
2,0.03,32.903038024902344,1.8186018828418817,76,5,1,1,1,1,1,0
3,0.04,32.90692901611328,1.7055465404078836,76,5,1,1,1,1,1,0
4,0.05,32.81135177612305,1.7803948836657346,76,5,1,1,1,1,1,0
5,0.06,33.09177780151367,1.6813353181824329,76,5,1,1,1,1,1,0
6,0.07,33.05562973022461,1.7670540271099695,76,4,0,1,1,1,1,0
7,0.08,33.1278190612793,1.9007838268849053,76,4,0,1,1,1,1,0
8,0.09,33.44465255737305,1.8315287740538266,76,4,0,1,1,1,1,0
9,0.1,33.00838088989258,1.7837565894074583,76,4,0,1,1,1,1,0
10,0.11,32.942623138427734,1.807039928851585,76,4,0,1,1,1,1,0
11,0.12,32.84562683105469,1.9359759315752973,76,4,0,1,1,1,1,0
12,0.13,32.94242477416992,1.8051053764046883,76,4,0,1,1,1,1,0
13,0.14,33.31163024902344,1.8109090901518126,76,4,0,1,1,1,1,0
14,0.15,32.646705627441406,1.877797068991734,76,4,0,1,1,1,1,0
15,0.16,32.63740921020508,1.8298098572736634,76,5,1,1,1,1,1,0
16,0.17,32.83868408203125,1.8543189241580917,76,4,0,1,1,1,1,0
17,0.18,32.588069915771484,1.8460791696963066,76,4,0,1,1,1,1,0
18,0.19,32.69542694091797,1.8188181164802142,76,3,0,0,1,1,1,0
19,0.2,32.81822967529297,1.7860869530988703,76,4,0,1,1,1,1,0
20,0.21,32.78632736206055,1.8018908644169649,76,4,0,1,1,1,1,0
21,0.22,32.77058410644531,1.7497982462593817,76,4,0,1,1,1,1,0
22,0.23,32.61898422241211,1.7625317553184725,76,4,0,1,1,1,1,0
23,0.24,32.75690460205078,1.7449633181887871,76,4,0,1,1,1,1,0
24,0.25,32.441898345947266,1.6887831402791107,76,4,0,1,1,1,1,0
25,0.26,32.45749282836914,1.8278407481336891,76,5,1,1,1,1,1,0
26,0.27,32.86357116699219,1.6847809266038596,76,5,1,1,1,1,1,0
27,0.28,32.84611511230469,1.895202805429967,76,4,0,1,1,1,1,0
28,0.29,32.819374084472656,1.6791739513077757,76,5,1,1,1,1,1,0
29,0.3,33.32921600341797,1.7997797462519296,76,5,1,1,1,1,1,0
30,0.31,33.099151611328125,1.6960565376711072,76,4,0,1,1,1,1,0
31,0.32,33.1465950012207,1.7997828407774072,76,5,1,1,1,1,1,0
32,0.33,32.91868591308594,1.8058250228308748,76,5,1,1,1,1,1,0
33,0.34,32.771644592285156,1.7733862344643065,76,5,1,1,1,1,1,0
34,0.35,33.051605224609375,1.65578469659419,76,5,1,1,1,1,1,0
